	Temparature	Rain	Hot	Mango	Dirty	Dengue	Mosquito	Repel	Medicine	Cleaning	Spread	Prevention	Doctor	Fogger	Corporation	Municipal	Projonon	Control	Larvae	Fogging	Cleansing	Clean	Aerosol	Production	Aedes	Steps	Symptoms	Signs	Fever	Pain	Vomit	Blood	Headache	Tireness	Breath	Platilet	Onuchokrika	Complexity	Human	Mosquitos
Temparature	1.000000	0.819940	0.913267	0.830269	0.812463	0.216038	0.230250	0.558231	0.830370	0.557823	0.878911	0.905093	0.862478	0.209820	0.812385	0.810916	0.707438	0.857045	0.200797	0.238100	0.876775	0.739280	0.245645	0.885693	0.329565	0.840365	0.910100	0.832268	0.564005	0.927544	0.831337	0.858762	0.900906	0.767299	0.792744	0.222548	0.484544	0.755219	0.918663	0.260332
Rain	0.819940	1.000000	0.887588	0.780339	0.846292	0.387126	0.419084	0.656517	0.882533	0.662105	0.851644	0.834499	0.828302	0.390046	0.779531	0.740440	0.767671	0.796727	0.386521	0.446698	0.862894	0.767898	0.417289	0.842242	0.488122	0.820487	0.880554	0.807996	0.676207	0.837078	0.858559	0.806041	0.788671	0.677381	0.728246	0.358036	0.673044	0.523207	0.839872	0.435709
Hot	0.913267	0.887588	1.000000	0.872586	0.848427	0.206475	0.232371	0.540909	0.846725	0.597160	0.842088	0.866124	0.844749	0.209128	0.844256	0.810687	0.675540	0.820741	0.207092	0.241851	0.864447	0.747506	0.251210	0.856754	0.329031	0.803685	0.946489	0.826894	0.593379	0.899866	0.851055	0.890230	0.879003	0.829890	0.835696	0.209787	0.547804	0.638493	0.904998	0.270000
Mango	0.830269	0.780339	0.872586	1.000000	0.783949	0.014449	0.052734	0.324627	0.756409	0.414630	0.732735	0.806730	0.836912	0.030150	0.791316	0.837150	0.601938	0.817569	0.019385	0.050250	0.760195	0.597269	0.102744	0.852857	0.160125	0.803312	0.828764	0.814176	0.338908	0.846062	0.770875	0.823294	0.832312	0.561249	0.795877	0.055178	0.431247	0.484100	0.863052	0.079606
Dirty	0.812463	0.846292	0.848427	0.783949	1.000000	0.501797	0.540187	0.775239	0.980327	0.816968	0.946821	0.964631	0.966905	0.526171	0.931542	0.812820	0.850051	0.961353	0.497408	0.534342	0.978365	0.941467	0.500012	0.906687	0.626735	0.964152	0.948363	0.922681	0.754242	0.920526	0.956587	0.967618	0.939699	0.592755	0.873527	0.504156	0.692556	0.543001	0.950432	0.556122
Dengue	0.216038	0.387126	0.206475	0.014449	0.501797	1.000000	0.996085	0.895845	0.582484	0.887912	0.523489	0.381004	0.372423	0.993492	0.335245	0.105396	0.545110	0.352162	0.997782	0.984062	0.492341	0.705653	0.968802	0.184285	0.985158	0.377173	0.365710	0.281667	0.896388	0.254340	0.436579	0.386892	0.342868	0.095439	0.140744	0.981351	0.703700	0.100411	0.294684	0.995667
Mosquito	0.230250	0.419084	0.232371	0.052734	0.540187	0.996085	1.000000	0.897575	0.616369	0.900364	0.545976	0.416033	0.405813	0.997698	0.377303	0.145356	0.555091	0.392122	0.996657	0.987283	0.523635	0.731680	0.965709	0.225488	0.992241	0.419970	0.398032	0.317478	0.900048	0.279919	0.470065	0.420768	0.369845	0.089333	0.183916	0.979734	0.718137	0.082588	0.329553	0.996940
Repel	0.558231	0.656517	0.540909	0.324627	0.775239	0.895845	0.897575	1.000000	0.826601	0.962626	0.805812	0.699339	0.681912	0.885897	0.644920	0.425977	0.808113	0.665298	0.882285	0.891930	0.786991	0.898970	0.853696	0.538134	0.928357	0.673744	0.690749	0.607049	0.964803	0.620896	0.738533	0.703467	0.655860	0.451962	0.474711	0.869717	0.771542	0.443176	0.639490	0.907931
Medicine	0.830370	0.882533	0.846725	0.756409	0.980327	0.582484	0.616369	0.826601	1.000000	0.863363	0.952196	0.950669	0.944753	0.598616	0.912163	0.788966	0.851265	0.939155	0.578746	0.611918	0.979529	0.963797	0.594214	0.886750	0.698950	0.943426	0.946763	0.890265	0.820454	0.897688	0.947363	0.943345	0.918534	0.591299	0.829083	0.588565	0.748141	0.544073	0.932695	0.633882
Cleaning	0.557823	0.662105	0.597160	0.414630	0.816968	0.887912	0.900364	0.962626	0.863363	1.000000	0.805446	0.712960	0.711592	0.888694	0.697181	0.481855	0.767871	0.692946	0.886207	0.889720	0.801964	0.931907	0.880485	0.552772	0.942102	0.697368	0.730585	0.635275	0.970265	0.626842	0.756240	0.748905	0.696502	0.422665	0.524202	0.890954	0.806635	0.362653	0.667975	0.915961
