serial,id,division,district,upazilaBangla,2019,2020
0,1,চট্টগ্রাম,কুমিল্লা,দেবিদ্বার,23.0,0.0
1,2,চট্টগ্রাম,কুমিল্লা,বরুড়া,2.0,0.0
2,3,চট্টগ্রাম,কুমিল্লা,ব্রাহ্মণপাড়া,7.0,0.0
3,4,চট্টগ্রাম,কুমিল্লা,চান্দিনা,25.0,0.0
4,5,চট্টগ্রাম,কুমিল্লা,চৌদ্দগ্রাম,16.0,0.0
5,6,চট্টগ্রাম,কুমিল্লা,দাউদকান্দি,32.0,0.0
6,7,চট্টগ্রাম,কুমিল্লা,হোমনা,25.0,0.0
7,8,চট্টগ্রাম,কুমিল্লা,লাকসাম,39.0,0.0
8,9,চট্টগ্রাম,কুমিল্লা,মুরাদনগর,46.0,0.0
9,10,চট্টগ্রাম,কুমিল্লা,নাঙ্গলকোট,8.0,0.0
10,11,চট্টগ্রাম,কুমিল্লা,কুমিল্লা সদর,91.0,1.0
11,12,চট্টগ্রাম,কুমিল্লা,মেঘনা,40.0,0.0
12,13,চট্টগ্রাম,কুমিল্লা,মনোহরগঞ্জ,10.0,0.0
13,14,চট্টগ্রাম,কুমিল্লা,সদর দক্ষিণ,201.0,1.0
14,15,চট্টগ্রাম,কুমিল্লা,তিতাস,45.0,1.0
15,16,চট্টগ্রাম,কুমিল্লা,বুড়িচং,5.0,0.0
16,17,চট্টগ্রাম,কুমিল্লা,লালমাই,5.0,0.0
17,18,চট্টগ্রাম,ফেনী,ছাগলনাইয়া,4.0,0.0
18,19,চট্টগ্রাম,ফেনী,ফেনী সদর,27.0,0.0
19,20,চট্টগ্রাম,ফেনী,সোনাগাজী,15.0,0.0
20,21,চট্টগ্রাম,ফেনী,ফুলগাজী,1.0,0.0
21,22,চট্টগ্রাম,ফেনী,পরশুরাম,5.0,0.0
22,23,চট্টগ্রাম,ফেনী,দাগনভূঞা,3.0,0.0
23,24,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,ব্রাহ্মণবাড়িয়া সদর,61.0,0.0
24,25,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,কসবা,20.0,0.0
25,26,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নাসিরনগর,40.0,0.0
26,27,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,সরাইল,15.0,0.0
27,28,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,আশুগঞ্জ,44.0,0.0
28,29,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,আখাউড়া,15.0,0.0
29,30,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নবীনগর,10.0,0.0
30,31,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,বাঞ্ছারামপুর,2.0,0.0
31,32,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,বিজয়নগর,7.0,0.0
32,33,চট্টগ্রাম,রাঙ্গামাটি,রাঙ্গামাটি সদর,12.0,0.0
33,34,চট্টগ্রাম,রাঙ্গামাটি,কাপ্তাই,29.0,0.0
34,35,চট্টগ্রাম,রাঙ্গামাটি,কাউখালী,24.0,0.0
35,36,চট্টগ্রাম,রাঙ্গামাটি,বাঘাইছড়ি,3.0,0.0
36,37,চট্টগ্রাম,রাঙ্গামাটি,বরকল,3.0,0.0
37,38,চট্টগ্রাম,রাঙ্গামাটি,লংগদু,5.0,0.0
38,39,চট্টগ্রাম,রাঙ্গামাটি,রাজস্থলী,1.0,0.0
39,40,চট্টগ্রাম,রাঙ্গামাটি,বিলাইছড়ি,3.0,0.0
40,41,চট্টগ্রাম,রাঙ্গামাটি,জুরাছড়ি,1.0,0.0
41,42,চট্টগ্রাম,রাঙ্গামাটি,নানিয়ারচর,3.0,0.0
42,43,চট্টগ্রাম,নোয়াখালী,নোয়াখালী সদর,66.0,0.0
43,44,চট্টগ্রাম,নোয়াখালী,কোম্পানীগঞ্জ,38.0,0.0
44,45,চট্টগ্রাম,নোয়াখালী,বেগমগঞ্জ,34.0,0.0
45,46,চট্টগ্রাম,নোয়াখালী,হাতিয়া,7.0,0.0
46,47,চট্টগ্রাম,নোয়াখালী,সুবর্ণচর,16.0,0.0
47,48,চট্টগ্রাম,নোয়াখালী,কবিরহাট,1.0,0.0
48,49,চট্টগ্রাম,নোয়াখালী,সেনবাগ,10.0,0.0
49,50,চট্টগ্রাম,নোয়াখালী,চাটখিল,3.0,0.0
50,51,চট্টগ্রাম,নোয়াখালী,সোনাইমুড়ী,0.0,0.0
51,52,চট্টগ্রাম,চাঁদপুর,হাইমচর,14.0,0.0
52,53,চট্টগ্রাম,চাঁদপুর,কচুয়া,33.0,0.0
53,54,চট্টগ্রাম,চাঁদপুর,শাহরাস্তি	,29.0,0.0
54,55,চট্টগ্রাম,চাঁদপুর,চাঁদপুর সদর,179.0,0.0
55,56,চট্টগ্রাম,চাঁদপুর,মতলব দক্ষিণ,45.0,0.0
56,57,চট্টগ্রাম,চাঁদপুর,হাজীগঞ্জ,74.0,0.0
57,58,চট্টগ্রাম,চাঁদপুর,মতলব উত্তর,46.0,0.0
58,59,চট্টগ্রাম,চাঁদপুর,ফরিদগঞ্জ,21.0,0.0
59,60,চট্টগ্রাম,লক্ষ্মীপুর,লক্ষ্মীপুর সদর,64.0,0.0
60,61,চট্টগ্রাম,লক্ষ্মীপুর,কমলনগর,17.0,0.0
61,62,চট্টগ্রাম,লক্ষ্মীপুর,রায়পুর,19.0,0.0
62,63,চট্টগ্রাম,লক্ষ্মীপুর,রামগতি,5.0,0.0
63,64,চট্টগ্রাম,লক্ষ্মীপুর,রামগঞ্জ,16.0,0.0
64,65,চট্টগ্রাম,চট্টগ্রাম,রাঙ্গুনিয়া,29.0,0.0
65,66,চট্টগ্রাম,চট্টগ্রাম,সীতাকুন্ড,4.0,0.0
66,67,চট্টগ্রাম,চট্টগ্রাম,মীরসরাই,0.0,0.0
67,68,চট্টগ্রাম,চট্টগ্রাম,পটিয়া,21.0,0.0
68,69,চট্টগ্রাম,চট্টগ্রাম,সন্দ্বীপ,5.0,0.0
69,70,চট্টগ্রাম,চট্টগ্রাম,বাঁশখালী,19.0,0.0
70,71,চট্টগ্রাম,চট্টগ্রাম,বোয়ালখালী,28.0,0.0
71,72,চট্টগ্রাম,চট্টগ্রাম,আনোয়ারা,80.0,1.0
72,73,চট্টগ্রাম,চট্টগ্রাম,চন্দনাইশ,40.0,0.0
73,74,চট্টগ্রাম,চট্টগ্রাম,সাতকানিয়া,25.0,0.0
74,75,চট্টগ্রাম,চট্টগ্রাম,লোহাগাড়া,26.0,0.0
75,76,চট্টগ্রাম,চট্টগ্রাম,হাটহাজারী,26.0,3.0
76,77,চট্টগ্রাম,চট্টগ্রাম,ফটিকছড়ি,14.0,0.0
77,78,চট্টগ্রাম,চট্টগ্রাম,রাউজান,18.0,0.0
78,79,চট্টগ্রাম,চট্টগ্রাম,কর্ণফুলী,37.0,1.0
79,80,চট্টগ্রাম,কক্সবাজার,কক্সবাজার সদর,57.0,0.0
80,81,চট্টগ্রাম,কক্সবাজার,চকরিয়া,48.0,0.0
81,82,চট্টগ্রাম,কক্সবাজার,কুতুবদিয়া,3.0,0.0
82,83,চট্টগ্রাম,কক্সবাজার,উখিয়া,30.0,0.0
83,84,চট্টগ্রাম,কক্সবাজার,মহেশখালী,21.0,0.0
84,85,চট্টগ্রাম,কক্সবাজার,পেকুয়া,8.0,0.0
