,Unnamed: 0,id,bang,2015,2016,2017,2018,2019,2020
0,0,দেবিদ্বার,সুবিল,0.0,0.0,0.0,0.0,0.0,0.0
1,1,দেবিদ্বার,উত্তর গুনাইঘর,0.0,0.0,0.0,0.0,0.0,0.0
2,2,দেবিদ্বার,দক্ষিণ গুনাইঘর,0.0,0.0,0.0,0.0,0.0,0.0
3,3,দেবিদ্বার,বড়শালঘর,0.0,0.0,0.0,0.0,0.0,0.0
4,4,দেবিদ্বার,রাজামেহার,0.0,0.0,0.0,0.0,0.0,0.0
5,5,দেবিদ্বার,ইউসুফপুর,0.0,0.0,0.0,0.0,19.0,0.0
6,6,দেবিদ্বার,রসুলপুর,0.0,0.0,0.0,0.0,13.0,0.0
7,7,দেবিদ্বার,ফতেহাবাদ,0.0,0.0,0.0,0.0,0.0,0.0
8,8,দেবিদ্বার,এলাহাবাদ,0.0,0.0,0.0,2.0,0.0,0.0
9,9,দেবিদ্বার,জাফরগঞ্জ,0.0,0.0,0.0,0.0,0.0,0.0
10,10,দেবিদ্বার,ধামতী,0.0,0.0,0.0,0.0,0.0,0.0
11,11,দেবিদ্বার,মোহনপুর,0.0,0.0,1.0,0.0,8.0,0.0
12,12,দেবিদ্বার,ভানী,1.0,0.0,0.0,0.0,19.0,0.0
13,13,দেবিদ্বার,বরকামতা,0.0,0.0,0.0,0.0,0.0,0.0
14,14,দেবিদ্বার,সুলতানপুর,0.0,0.0,0.0,0.0,56.0,0.0
15,15,বরুড়া,আগানগর,0.0,0.0,0.0,0.0,1.0,0.0
16,16,বরুড়া,ভবানীপুর,0.0,0.0,0.0,2.0,20.0,0.0
17,17,বরুড়া,উত্তর খোশবাস,0.0,0.0,0.0,0.0,0.0,0.0
18,18,বরুড়া,দক্ষিন খোশবাস,0.0,0.0,0.0,0.0,0.0,0.0
19,19,বরুড়া,ঝলম,0.0,0.0,0.0,0.0,3.0,0.0
20,20,বরুড়া,চিতড্ডা,0.0,0.0,0.0,0.0,0.0,0.0
21,21,বরুড়া,উত্তর শিলমুড়ি,0.0,0.0,0.0,0.0,0.0,0.0
22,22,বরুড়া,দক্ষিন শিলমুড়ি,0.0,0.0,0.0,0.0,0.0,0.0
23,23,বরুড়া,গালিমপুর,0.0,0.0,0.0,0.0,0.0,0.0
24,24,বরুড়া,শাকপুর,0.0,0.0,0.0,0.0,1.0,0.0
25,25,বরুড়া,ভাউকসার,0.0,0.0,0.0,0.0,0.0,0.0
26,26,বরুড়া,আড্ডা,3.0,1.0,4.0,15.0,52.0,0.0
27,27,বরুড়া,আদ্রা,0.0,0.0,1.0,1.0,15.0,0.0
28,28,বরুড়া,পয়ালগাছা,0.0,0.0,0.0,0.0,0.0,0.0
29,29,বরুড়া,লক্ষীপুর,0.0,0.0,0.0,0.0,22.0,0.0
30,30,ব্রাহ্মণপাড়া,শিদলাই,0.0,0.0,0.0,0.0,0.0,0.0
31,31,ব্রাহ্মণপাড়া,চান্দলা,0.0,0.0,0.0,0.0,2.0,0.0
32,32,ব্রাহ্মণপাড়া,শশীদল,0.0,0.0,0.0,0.0,0.0,0.0
33,33,ব্রাহ্মণপাড়া,দুলালপুর,0.0,0.0,0.0,0.0,0.0,0.0
34,34,ব্রাহ্মণপাড়া,ব্রাহ্মনপাড়া সদর,0.0,0.0,0.0,0.0,1.0,0.0
35,35,ব্রাহ্মণপাড়া,সাহেবাবাদ,0.0,0.0,0.0,0.0,1.0,0.0
36,36,ব্রাহ্মণপাড়া,মালাপাড়া,0.0,0.0,0.0,0.0,1.0,0.0
37,37,ব্রাহ্মণপাড়া,মাধবপুর,1.0,0.0,0.0,0.0,34.0,0.0
38,38,চান্দিনা,সুহিলপুর,0.0,0.0,0.0,0.0,0.0,0.0
39,39,চান্দিনা,বাতাঘাসি,0.0,0.0,0.0,0.0,0.0,0.0
40,40,চান্দিনা,জোয়াগ,0.0,0.0,0.0,0.0,2.0,0.0
41,41,চান্দিনা,বরকরই,0.0,0.0,0.0,0.0,1.0,0.0
42,42,চান্দিনা,মাধাইয়া,0.0,0.0,0.0,34.0,0.0,0.0
43,43,চান্দিনা,দোল্লাই নবাবপুর,0.0,0.0,0.0,0.0,3.0,0.0
44,44,চান্দিনা,মহিচাইল,0.0,0.0,0.0,0.0,0.0,0.0
45,45,চান্দিনা,গল্লাই,0.0,0.0,0.0,0.0,0.0,0.0
46,46,চান্দিনা,কেরণখাল,0.0,0.0,0.0,0.0,0.0,0.0
47,47,চান্দিনা,মাইজখার,0.0,0.0,0.0,0.0,0.0,0.0
48,48,চান্দিনা,এতবারপুর,0.0,0.0,0.0,0.0,0.0,0.0
49,49,চান্দিনা,বাড়েরা,0.0,0.0,0.0,0.0,0.0,0.0
50,50,চান্দিনা,বরকইট,0.0,0.0,0.0,0.0,0.0,0.0
51,51,চৌদ্দগ্রাম,শ্রীপুর,0.0,0.0,0.0,3.0,48.0,0.0
52,52,চৌদ্দগ্রাম,কাশিনগর,0.0,0.0,0.0,0.0,0.0,0.0
53,53,চৌদ্দগ্রাম,কালিকাপুর,0.0,0.0,0.0,0.0,2.0,0.0
54,54,চৌদ্দগ্রাম,শুভপুর,0.0,0.0,0.0,0.0,1.0,0.0
55,55,চৌদ্দগ্রাম,ঘোলপাশা,0.0,0.0,0.0,0.0,0.0,0.0
56,56,চৌদ্দগ্রাম,মুন্সীরহাট,0.0,0.0,0.0,0.0,2.0,0.0
57,57,চৌদ্দগ্রাম,বাতিসা,0.0,0.0,0.0,0.0,0.0,0.0
58,58,চৌদ্দগ্রাম,কনকাপৈত,0.0,0.0,0.0,0.0,0.0,0.0
59,59,চৌদ্দগ্রাম,চিওড়া,0.0,0.0,0.0,0.0,10.0,0.0
60,60,চৌদ্দগ্রাম,জগন্নাথদিঘী,0.0,0.0,0.0,0.0,0.0,0.0
61,61,চৌদ্দগ্রাম,গুনবতী,1.0,1.0,3.0,3.0,43.0,0.0
62,62,চৌদ্দগ্রাম,আলকরা,0.0,0.0,0.0,0.0,0.0,0.0
63,63,দাউদকান্দি,দৌলতপুর,0.0,0.0,0.0,1.0,225.0,0.0
64,64,দাউদকান্দি,দাউদকান্দি,0.0,0.0,0.0,1.0,32.0,0.0
65,65,দাউদকান্দি,উত্তর ইলিয়টগঞ্জ,0.0,0.0,0.0,0.0,0.0,0.0
66,66,দাউদকান্দি,দক্ষিন ইলিয়টগঞ্জ,0.0,0.0,0.0,0.0,0.0,0.0
67,67,দাউদকান্দি,জিংলাতলী,0.0,0.0,0.0,0.0,0.0,0.0
68,68,দাউদকান্দি,সুন্দলপুর,0.0,0.0,0.0,0.0,0.0,0.0
69,69,দাউদকান্দি,গৌরীপুর,0.0,0.0,0.0,35.0,25.0,2.0
70,70,দাউদকান্দি,পুর্ব মোহাম্মদপুর,0.0,0.0,0.0,0.0,3.0,0.0
71,71,দাউদকান্দি,পশ্চিম মোহাম্মদপুর,0.0,0.0,1.0,0.0,17.0,4.0
72,72,দাউদকান্দি,গোয়ালমারী,0.0,0.0,0.0,0.0,2.0,0.0
73,73,দাউদকান্দি,মারুকা,1.0,0.0,0.0,0.0,0.0,0.0
74,74,দাউদকান্দি,বিটেশ্বর,0.0,0.0,0.0,0.0,0.0,0.0
75,75,দাউদকান্দি,পদুয়া,0.0,0.0,0.0,0.0,11.0,0.0
76,76,দাউদকান্দি,পশ্চিম পাচঁগাছিয়া,0.0,0.0,0.0,0.0,0.0,0.0
77,77,দাউদকান্দি,বারপাড়া,0.0,0.0,0.0,0.0,1.0,0.0
78,78,হোমনা,মাথাভাঙ্গা,0.0,0.0,0.0,0.0,1.0,0.0
79,79,হোমনা,ঘাগুটিয়া,0.0,0.0,0.0,0.0,0.0,0.0
