Serial,id,division,district,upazilaBangla
0,1,চট্টগ্রাম,কুমিল্লা,দেবিদ্বার
1,2,চট্টগ্রাম,কুমিল্লা,বরুড়া
2,3,চট্টগ্রাম,কুমিল্লা,ব্রাহ্মণপাড়া
3,4,চট্টগ্রাম,কুমিল্লা,চান্দিনা
4,5,চট্টগ্রাম,কুমিল্লা,চৌদ্দগ্রাম
5,6,চট্টগ্রাম,কুমিল্লা,দাউদকান্দি
6,7,চট্টগ্রাম,কুমিল্লা,হোমনা
7,8,চট্টগ্রাম,কুমিল্লা,লাকসাম
8,9,চট্টগ্রাম,কুমিল্লা,মুরাদনগর
9,10,চট্টগ্রাম,কুমিল্লা,নাঙ্গলকোট
10,11,চট্টগ্রাম,কুমিল্লা,কুমিল্লা সদর
11,12,চট্টগ্রাম,কুমিল্লা,মেঘনা
12,13,চট্টগ্রাম,কুমিল্লা,মনোহরগঞ্জ
13,14,চট্টগ্রাম,কুমিল্লা,সদর দক্ষিণ
14,15,চট্টগ্রাম,কুমিল্লা,তিতাস
15,16,চট্টগ্রাম,কুমিল্লা,বুড়িচং
16,17,চট্টগ্রাম,কুমিল্লা,লালমাই
17,18,চট্টগ্রাম,ফেনী,ছাগলনাইয়া
18,19,চট্টগ্রাম,ফেনী,ফেনী সদর
19,20,চট্টগ্রাম,ফেনী,সোনাগাজী
20,21,চট্টগ্রাম,ফেনী,ফুলগাজী
21,22,চট্টগ্রাম,ফেনী,পরশুরাম
22,23,চট্টগ্রাম,ফেনী,দাগনভূঞা
23,24,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,ব্রাহ্মণবাড়িয়া সদর
24,25,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,কসবা
25,26,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নাসিরনগর
26,27,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,সরাইল
27,28,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,আশুগঞ্জ
28,29,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,আখাউড়া
29,30,চট্টগ্রাম,ব্রাহ্মণবাড়িয়া,নবীনগর
